"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-214-3p",-0.875531088227614,9.28343913289584,-5.99086594531019,0.000271496541020825,0.699918082751688,0.482152918408076
"hsa-miR-302c-5p",-1.26788493842061,6.69191999286597,-4.88775298595841,0.0010584809829648,0.769403219863901,-0.544251326321582
"hsa-miR-135b-3p",-0.764353781665661,6.51528299472659,-4.81041457858568,0.00117191628337931,0.769403219863901,-0.624486792684889
"hsa-miR-491-5p",1.13269598988271,7.22045370637067,4.79643112623694,0.0011937986343893,0.769403219863901,-0.639113894335667
"hsa-miR-504-3p",-1.42199837948406,8.81151650985438,-4.09765308297703,0.0031207876131082,0.889904830795851,-1.41698410049721
"hsa-miR-583",-0.72876099110656,5.71953529814228,-4.05691194784645,0.00330789276754123,0.889904830795851,-1.46515213020732
"hsa-miR-1237-5p",0.641936388853072,6.09886434097645,3.80347206426358,0.00477709216330118,0.889904830795851,-1.77151231631503
"hsa-miR-1914-3p",-0.62375778592632,6.06747303782097,-3.47271063651803,0.00782021844846774,0.889904830795851,-2.18785930837768
"hsa-miR-3175",-0.621152046125752,5.76461977691549,-3.11127019520227,0.0136090142520047,0.889904830795851,-2.6614602520726
"hsa-miR-3176",-0.768047398431336,6.43233297853863,-3.07541760941462,0.0143888766272445,0.889904830795851,-2.70932611522138
"hsa-miR-3613-3p",-0.811919038747104,7.02452385145875,-3.01801180560474,0.0157356972541978,0.889904830795851,-2.78624821447346
"hsa-miR-3620-5p",0.727042422837205,6.80371695382421,2.98579648902083,0.0165481812951016,0.889904830795851,-2.82955832258525
"hsa-miR-4492",-1.48257818245324,6.63247674564415,-2.92629771364453,0.0181649191556527,0.889904830795851,-2.90979603156066
"hsa-miR-4497",-0.603034291511593,5.36048570962627,-2.89852850452559,0.0189745156175551,0.889904830795851,-2.94734650233207
"hsa-miR-4532",0.609244845656562,9.65790421605523,2.86298680614752,0.020065314896115,0.889904830795851,-2.99549386793477
"hsa-miR-4668-5p",0.758254143902608,5.89439591841951,2.85756042716896,0.0202374517506728,0.889904830795851,-3.00285293620782
"hsa-miR-1343-3p",0.799782759660106,9.41490390847904,2.8568519962587,0.0202600366659776,0.889904830795851,-3.00381383861013
"hsa-miR-4688",-1.36846760760358,7.44837344117382,-2.81395905139449,0.0216769207741441,0.889904830795851,-3.06205588791929
"hsa-miR-4728-5p",-0.978265787889847,7.51243887605291,-2.78070894778694,0.0228450474040413,0.889904830795851,-3.1072832635325
"hsa-miR-371b-5p",-0.821889334175162,7.66838759845975,-2.73203666341597,0.0246724728447102,0.889904830795851,-3.17359570446139
"hsa-miR-6088",0.695505389196363,6.45507192681587,2.68356004094365,0.026641338758944,0.889904830795851,-3.23974712842257
"hsa-miR-6126",0.835329872799164,8.22747559695672,2.59197611780951,0.0308091356905946,0.889904830795851,-3.36492080443666
"hsa-miR-6802-5p",0.76703968464981,8.09364030026337,2.57987795275017,0.0314071585364538,0.889904830795851,-3.38146805263032
"hsa-miR-6821-5p",-1.87979050080666,6.70904841641276,-2.57979973513042,0.0314110629254151,0.889904830795851,-3.38157503970407
"hsa-miR-6869-5p",0.854368485696543,6.8443183900629,2.55068668932118,0.0328989680328646,0.889904830795851,-3.42139926493169
"hsa-miR-6873-5p",-1.61618100843415,9.68302825349251,-2.49199835143362,0.0361185064174967,0.889904830795851,-3.50167894599066
"hsa-miR-6880-5p",0.668439663413245,5.56930800259821,2.44646319786363,0.0388336807351193,0.889904830795851,-3.56393738956192
"hsa-miR-7108-5p",-1.01303910262232,5.72182052551979,-2.4263982125709,0.0400943022769489,0.889904830795851,-3.59135590443104
"hsa-miR-7111-5p",0.640594787869373,7.45372752220938,2.38848306526455,0.042589384642223,0.889904830795851,-3.64312957959813
"hsa-miR-8052",-1.22411002890011,6.72966234781186,-2.3268332032869,0.0469816061964618,0.889904830795851,-3.72717418016206
